iter	Passed	Remaining
1355	240116	4186803
1356	240302	4186786
1357	240474	4186526
1358	240659	4186480
1359	240824	4186097
1360	241019	4186236
1361	241203	4186164
1362	241372	4185856
1363	241550	4185691
1364	241726	4185495
1365	241892	4185132
1366	242059	4184777
1367	242263	4185073
1368	242495	4185843
1369	242667	4185565
1370	242841	4185346
1371	243012	4185056
1372	243211	4185250
1373	243403	4185327
1374	243588	4185289
1375	243750	4184850
1376	243909	4184365
1377	244090	4184264
1378	244262	4183986
1379	244444	4183901
1380	244622	4183740
1381	244802	4183610
1382	244982	4183475
1383	245155	4183228
1384	245317	4182796
1385	245496	4182650
1386	245681	4182604
1387	245864	4182532
1388	246024	4182070
1389	246197	4181812
1390	246367	4181509
1391	246548	4181408
1392	246727	4181257
1393	246904	4181086
1394	247096	4181164
1395	247278	4181061
1396	247452	4180839
1397	247635	4180751
1398	247817	4180656
1399	247985	4180335
1400	248138	4179746
1401	248300	4179313
1402	248467	4178959
1403	248639	4178710
1404	248818	4178548
1405	248983	4178171
1406	249172	4178192
1407	249339	4177845
1408	249504	4177475
1409	249677	4177228
1410	249848	4176952
1411	250018	4176656
1412	250197	4176514
1413	250363	4176156
1414	250549	4176116
1415	250716	4175779
1416	250896	4175653
1417	251086	4175686
1418	251243	4175169
1419	251428	4175135
1420	251621	4175209
1421	251811	4175249
1422	252023	4175648
1423	252237	4176090
1424	252468	4176797
1425	252697	4177489
1426	252924	4178135
1427	253144	4178657
1428	253390	4179614
1429	253604	4180041
1430	253806	4180264
1431	253993	4180242
1432	254196	4180489
1433	254372	4180290
1434	254527	4179744
1435	254753	4180368
1436	254923	4180075
1437	255095	4179797
1438	255287	4179873
1439	255465	4179692
1440	255683	4180181
1441	255874	4180222
1442	256075	4180430
1443	256259	4180371
1444	256447	4180368
1445	256654	4180665
1446	256820	4180298
1447	256999	4180152
1448	257174	4179934
1449	257365	4179976
1450	257542	4179791
1451	257726	4179708
1452	257916	4179735
1453	258097	4179610
1454	258276	4179472
1455	258438	4179028
1456	258609	4178749
1457	258768	4178275
1458	258938	4177981
1459	259112	4177741
1460	259298	4177709
1461	259492	4177788
1462	259682	4177814
1463	259855	4177566
1464	260043	4177561
1465	260214	4177283
1466	260387	4177035
1467	260558	4176748
1468	260738	4176606
1469	260905	4176258
1470	261087	4176164
1471	261268	4176032
1472	261425	4175532
1473	261606	4175414
1474	261803	4175539
1475	261988	4175479
1476	262174	4175438
1477	262357	4175358
1478	262553	4175469
1479	262736	4175373
1480	262916	4175234
1481	263096	4175109
1482	263273	4174914
1483	263465	4174968
1484	263647	4174864
1485	263845	4175003
1486	264022	4174828
1487	264200	4174654
1488	264383	4174555
1489	264552	4174247
1490	264747	4174351
1491	264940	4174403
1492	265118	4174233
