,Start,End,Duration
509,1529666.397,1538384.01,8717.612999999896
510,1529666.92,1536808.022,7141.102000000188
511,1529670.51,1536894.358,7223.847999999998
512,1529673.312,1537412.671,7739.359000000171
513,1529673.58,1539268.451,9594.87099999981
514,1529680.317,1542164.628,12484.310999999987
515,1529681.713,1548731.007,19049.293999999994
516,1529684.219,1540609.441,10925.222000000067
517,1530708.909,1536831.163,6122.253999999957
518,1529689.891,1539659.02,9969.128999999957
519,1531222.341,1540868.596,9646.254999999888
520,1531321.038,1536584.796,5263.758000000147
521,1529922.123,1536808.031,6885.908000000054
522,1529924.291,1540868.603,10944.311999999918
523,1529924.772,1536894.364,6969.591999999946
524,1529927.196,1536808.036,6880.840000000084
525,1536925.694,1536925.713,0.019000000087544322
526,1529930.98,1536916.248,6985.267999999924
527,1543834.879,1543834.991,0.11199999996460974
528,1529945.091,1539593.35,9648.259000000078
529,1529945.808,1536894.373,6948.564999999944
530,1530004.035,1537436.075,7432.040000000037
531,1530006.516,1536635.122,6628.6059999999125
532,1530008.171,1543460.654,13452.483000000007
533,1530549.548,1539166.757,8617.209000000032
534,1530012.607,1539745.443,9732.835999999894
535,1530026.992,1538471.9,8444.907999999821
536,1530030.073,1540263.827,10233.753999999957
537,1530030.696,1536808.04,6777.344000000041
538,1530032.54,1547089.45,17056.909999999916
539,1530091.756,1538017.469,7925.712999999989
540,1530094.715,1550718.204,20623.488999999827
541,1530096.991,1536808.045,6711.054000000004
542,1530100.897,1542251.318,12150.420999999857
543,1530115.565,1536584.411,6468.846000000136
544,1530716.231,1536808.05,6091.819000000134
545,1537779.46,1538017.475,238.01500000013039
546,1530181.497,1536894.377,6712.880000000121
547,1530182.649,1538041.376,7858.726999999955
548,1530184.409,1536894.381,6709.972000000067
549,1530185.783,1536588.341,6402.557999999961
550,1530186.86,1538017.489,7830.628999999957
551,1530187.299,1537956.857,7769.557999999961
552,1530198.379,1539400.106,9201.726999999955
553,1530199.52,1536894.386,6694.865999999922
554,1530199.836,1542424.133,12224.29700000002
555,1530202.057,1536894.39,6692.332999999868
556,1530204.225,1547694.973,17490.747999999905
557,1530261.545,1536808.055,6546.510000000009
558,1530263.021,1538126.253,7863.232000000076
559,1535370.331,1536808.059,1437.7279999998864
560,1530268.181,1536776.576,6508.394999999786
561,1530267.864,1537326.257,7058.392999999924
562,1530284.272,1540955.026,10670.753999999957
563,1530525.913,1536596.759,6070.846000000136
564,1530530.215,1539602.323,9072.108000000007
565,1538578.839,1539313.741,734.9020000000019
566,1530536.412,1539140.804,8604.391999999993
567,1530544.017,1538017.493,7473.476000000024
568,1530545.237,1542164.632,11619.395000000019
569,1530545.759,1542792.068,12246.308999999892
570,1530546.071,1542683.412,12137.341000000015
571,1530550.913,1547089.457,16538.543999999994
572,1530606.19,1536635.127,6028.937000000151
573,1530607.391,1537585.527,6978.13599999994
574,1530612.514,1536980.728,6368.21399999992
575,1530615.061,1539313.745,8698.684000000125
576,1530616.041,1537865.608,7249.567000000039
577,1530618.613,1539349.961,8731.347999999998
578,1530622.347,1539659.025,9036.67799999984
579,1530874.173,1538727.742,7853.569000000134
580,1533122.934,1536808.064,3685.130000000121
581,1530631.1,1542206.34,11575.23999999999
582,1530692.601,1537867.777,7175.175999999978
583,1530693.833,1536808.069,6114.235999999801
584,1530694.693,1539313.753,8619.060000000056
585,1530696.271,1536584.459,5888.188000000082
586,1538487.661,1539313.756,826.0949999999721
587,1530697.359,1536894.396,6197.037000000011
588,1530697.645,1537931.077,7233.43200000003
589,1539008.793,1539011.426,2.6329999999143183
